date,state,totalTestResultsIncrease,totalTestResults,positiveIncrease,positive,deathIncrease,death
2020-05-09,CA,37298,912570,2049,64561.0,93,2678.0
2020-05-09,FL,14390,527731,802,40001.0,47,1785.0
2020-05-09,NY,32225,1153768,2715,333122.0,226,21271.0
2020-05-09,PA,6548,277107,1078,55316.0,72,3688.0
2020-05-09,TX,12176,489294,1251,37860.0,45,1049.0
2020-05-10,CA,43094,955664,2119,66680.0,67,2745.0
2020-05-10,FL,11217,538948,595,40596.0,6,1791.0
2020-05-10,NY,29230,1182998,2273,335395.0,207,21478.0
2020-05-10,PA,7276,284383,1295,56611.0,19,3707.0
2020-05-10,TX,12482,501776,1009,38869.0,39,1088.0
2020-05-11,CA,36233,991897,1259,67939.0,25,2770.0
2020-05-11,FL,22109,561057,386,40982.0,14,1805.0
2020-05-11,NY,21653,1204651,1660,337055.0,162,21640.0
2020-05-11,PA,4475,288858,543,57154.0,24,3731.0
2020-05-11,TX,23921,525697,1000,39869.0,12,1100.0
2020-05-12,CA,41473,1033370,1443,69382.0,77,2847.0
2020-05-12,FL,18547,579604,941,41923.0,44,1849.0
2020-05-12,NY,20462,1225113,1430,338485.0,205,21845.0
2020-05-12,PA,7122,295980,837,57991.0,75,3806.0
2020-05-12,TX,12475,538172,1179,41048.0,33,1133.0
2020-05-13,CA,32222,1065592,1759,71141.0,87,2934.0
2020-05-13,FL,15159,594763,479,42402.0,49,1898.0
2020-05-13,NY,33794,1258907,2176,340661.0,168,22013.0
2020-05-13,PA,6889,302869,707,58698.0,137,3943.0
2020-05-13,TX,18604,556776,1355,42403.0,25,1158.0
2020-05-14,CA,39059,1104651,2023,73164.0,98,3032.0
2020-05-14,FL,14074,608837,808,43210.0,50,1948.0
2020-05-14,NY,39850,1298757,2390,343051.0,157,22170.0
2020-05-14,PA,8326,311195,938,59636.0,275,4218.0
2020-05-14,TX,30537,587313,1448,43851.0,58,1216.0
2020-05-15,CA,29255,1133906,1772,74936.0,76,3108.0
2020-05-15,FL,0,608837,0,43210.0,43,1991.0
